,description
512,"|Roaster Location:
|Taichung, Taiwan
|Coffee Origin:
|Peru, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|58/73
|Est. Price:
|$40.00/8 ounces
|Review Date:
|September 2023
|Aroma:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, almond, date, molasses, cedar in aroma and small cup. Plush, viscous mouthfeel; crisp, resonantly chocolaty finish. In three parts milk, dark chocolate and creamy almond notes take center stage.
Notes
A blend of coffees from Peru and Guatemala, roasted for espresso applications. HWC Roasters is a specialty coffee roaster based in Taichung, Taiwan. For more information, visit www.hwcroasters.com.
Bottom Line
A bold, chocolaty espresso blend supported by rich nut and aromatic wood notes; especially satisfying in cappuccino format.
Explore Similar Coffees
Click here for more reviews from HWC Coffee Roasters"
513,"Per'la Specialty Roasters
Espresso Fino
|Roaster Location:
|Miami, Florida
|Coffee Origin:
|Guatemala; Brazil; Indonesia
|Roast Level:
|Medium
|Agtron:
|50/70
|Est. Price:
|$16.00/12 ounces
|Review Date:
|August 2021
|Aroma:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|8
Blind Assessment
Evaluated as espresso. Richly bittersweet, gently chocolaty. Dried apricot, cocoa powder, fresh-cut cedar, almond, magnolia in aroma and small cup. Plump, creamy mouthfeel; cocoa- and cedar-toned finish. Three parts milk amplifies cocoa, apricot and magnolia notes, while almond and cedar provide pleasing structural undertones.
Notes
A blend of coffees from Guatemala, Brazil, and Indonesia roasted for espresso. Founded by Paul Massard and Chris Nolte, Per’la focuses on meticulous sourcing and roasting fine coffees in small batches. Visit www.drinkperla.com for more information.
Bottom Line
A crisply chocolaty, gently fruit-toned, sweetly floral espresso blend especially complex in cappuccino-scale milk.
Explore Similar Coffees
Click here for more reviews from Per'la Specialty Roasters
This review originally appeared in the August, 2021 tasting report: Darker-Roasted Espresso Blends: Variations On A Classic Theme"
514,"Colectivo Coffee
Sumatra Highlands
|Roaster Location:
|Milwaukee, Wisconsin
|Coffee Origin:
|Aceh Province, Gayo Highlands, Sumatra, Indonesia
|Roast Level:
|Medium-Light
|Agtron:
|55/76
|Est. Price:
|$16.95/12 ounces
|Review Date:
|September 2023
|Aroma:
|7
|Acidity/Structure:
|7
|Body:
|8
|Flavor:
|8
|Aftertaste:
|7
Blind Assessment
Deep-toned, straightforward and savory-leaning. Fresh humus, cocoa powder, gardenia extract, pecan, fir in aroma and cup. Savory, low-toned acidity; crisply satiny mouthfeel. Gently drying finish centered around notes of fresh humus, pecan and fir.
Notes
Produced by smallholding members of the Koperasi Ketiara Cooperative, a longtime origin partner of Colectivo. Coffees like this one from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” Certifications: USDA Organic; Fair Trade International. Colectivo Coffee, founded in 1993, is a Milwaukee-based specialty roaster with 20 cafes in Milwaukee, Madison, and Chicago. Visit www.colectivocoffee.com for more information.
Bottom Line
This Sumatra displays the origin’s characteristically earthy notes — sweetly savory, low-toned and deep.
Explore Similar Coffees
Click here for more reviews from Colectivo Coffee
Click here for more information about coffees from Sumatra
This review originally appeared in the September, 2023 tasting report: The Evolution of “Fair Trade” Coffee"
515,"|Roaster Location:
|Santa Rosa Beach, Florida
|Coffee Origin:
|Marcala, La Paz Department, Honduras
|Roast Level:
|Medium-Light
|Agtron:
|52/70
|Est. Price:
|$18.00/12 ounces
|Review Date:
|April 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Gently fruit-forward. Dried apricot, almond brittle, vanilla, freesia-like flowers, fresh-cut fir in aroma and cup. Sweet-toned with brisk acidity; viscous, satiny mouthfeel. The finish consolidates to vanilla, almond brittle and fresh-cut fir.
Notes
Certified Fair Trade and USDA Organic. Produced by smallholding members of the COMSA Cooperative and processed by the honey method (skin is removed but at least some of the sticky fruit residue is allowed to dry on the bean). The company name Amavida combines the Spanish words for love and life, reflecting Amavida’s multifaceted commitment to fairness and fine coffee. For more information, visit www.amavida.com or call 850-213-1965.
Bottom Line
A delicate, perfumy honey-processed Honduras with throughlines of dried stone fruit and spice-toned florals.
Explore Similar Coffees
Click here for more reviews from Amavida Coffee Roasters
Click here for more information about coffees from Honduras
This review originally appeared in the April, 2021 tasting report: Spring Break In a Cup: Finding Great Coffee Roasters In Coastal Communities"
516,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Cauca Department, Colombia
|Roast Level:
|Light
|Agtron:
|64/82
|Est. Price:
|$50.00/4 ounces
|Review Date:
|December 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Sweetly citrusy, richly chocolaty. Candied kumquat, dark chocolate, vanilla yogurt, honeysuckle, lemon balm in aroma and cup. Brightly sweet-tart with juicy, high-toned acidity; creamy-smooth mouthfeel. Resonant, long, flavor-laden finish.
Notes
Produced by Wilton Benitez of Finca El Paraíso entirely of the Java variety of Arabica, and processed by a complex double-anaerobic washed method, in which the coffee fruit is first sterilized, then fermented in the whole fruit in a bio-reactor and inoculated with Saccromyces cervesiae var. Diastaticus. (Strains from this yeast variety are commonly used in producing Saison style beers.) After this fermentation in the whole fruit, the coffee is pulped and subjected to a second fermentation phase, after which the beans are sealed through the impact of hot and cold water before drying by machine for 46 hours at 38C (100F). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
An evocatively sweet Colombia Java with bright citrus and deep chocolate notes throughout; intricately complex and balanced.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Colombia"
517,"|Roaster Location:
|Taoyuan, Taiwan
|Coffee Origin:
|Sidamo (also Sidama) growing region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|NT $450/8 ounces
|Review Date:
|February 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly fruit-forward, deeply aromatic. Passion fruit, tangerine zest, cocoa nib, lemon verbena, agave syrup in aroma and cup. Sweet-tart structure with vibrant acidity; satiny-smooth mouthfeel. The finish centers around notes of tangerine with cocoa undertones.
Notes
Produced by Ayele Tulu entirely of the 74110 variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). VERYTIME is a specialty nano-roaster based in Taoyuan, Taiwan. Visit www.verytime.com.tw/ for more information.
Bottom Line
A nuanced, balanced washed Ethiopia cup with deep tropical fruit, cocoa, and spicy floral notes.
Explore Similar Coffees
Click here for more reviews from VERYTIME
Click here for more information about coffees from Ethiopia"
518,"Peet's Coffee
Kenya Auction Lot
|Roaster Location:
|Berkeley, California
|Coffee Origin:
|Kenya
|Roast Level:
|Medium-Dark
|Agtron:
|38/50
|Est. Price:
|$17.95/16 ounces
|Review Date:
|April 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|7
Blind Assessment
Crisply sweet-savory. Dark chocolate, charred mesquite, gardenia, dried persimmon, dark caramel in aroma and cup. Bittersweet structure with barely perceptible acidity; gently drying, chocolaty and wood-framed finish.
Notes
This coffee was purchased from a Peet’s Coffee retail location as a nationally branded benchmark comparison for the darker-roasted coffees from smaller roasters reviewed this month. It is a conventionally washed-process coffee in the Kenya tradition. Peet’s Coffee, now a national chain, was founded by Alfred Peet in 1966, making it one of the first and most influential artisan coffee roasters in the U.S. Visit www.peets.com for more information.
Bottom Line
A fine Kenya roasted in Peet’s classic dark style, which here encourages surprising depth while retaining the crisp coherence of the classic Kenya profile.
Explore Similar Coffees
Click here for more reviews from Peet's Coffee
Click here for more information about coffees from Kenya
This review originally appeared in the April, 2022 tasting report: Darker-Roasted Coffees: Not Just Old-School Anymore"
519,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Mathira West District, Nyeri growing region, Kenya
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$24.95/12 ounces
|Review Date:
|October 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
High-toned, juicy, complex. Red currant, toffee, grapefruit marmalade, star jasmine, sandalwood in aroma and cup. Sweetly tart with richly vibrant, balanced acidity; very full, syrupy-smooth mouthfeel. The resonant, lingering finish carries forward the multi-layered nuance of the cup.
Notes
Produced by smallholding members of the Gikanda Farmers Cooperative Society, from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the washed method at the Gichathaini Factory. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
A very refined, elegant and powerful Kenya cup — juicy, sweet, rich, complex, deep.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Kenya"
520,"Backporch Coffee Roasters
El Salvador Las Delicias Pacamara
|Roaster Location:
|Bend, Oregon
|Coffee Origin:
|Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador
|Roast Level:
|Medium-Light
|Agtron:
|62/78
|Est. Price:
|$19.00/12 ounces
|Review Date:
|February 2023
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply chocolaty, rich-toned. Baking chocolate, pomegranate, gingerbread, Meyer lemon zest, pink peppercorn in aroma and cup. Savory-sweet structure with bright, lively acidity; crisp yet velvety mouthfeel. The finish consolidates to notes of pomegranate and pink peppercorn.
Notes
Produced by the Menendez Family of Menendez Estates entirely of the Pacamara variety of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed from the beans before drying). Backporch Coffee Roasters is a specialty roaster based in Bend, Oregon. Visit www.backporchcoffeeroasters.com for more information.
Bottom Line
A bold Pacamara from El Salvador that will appeal to those who like rich, chocolaty coffees with tart fruit and spice undertones.
Explore Similar Coffees
Click here for more reviews from Backporch Coffee Roasters
Click here for more information about coffees from El Salvador
This review originally appeared in the February, 2023 tasting report: Warm Your Bones With 10 Ski Country Coffees"
521,"Raggiana Coffee
Papua New Guinea Sigri Estate Medium Roast
|Roaster Location:
|Nashville, Tennessee
|Coffee Origin:
|Western Highlands, Papua New Guinea
|Roast Level:
|Medium-Light
|Agtron:
|52/70
|Est. Price:
|$15.99/12 ounces
|Review Date:
|June 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweet, richly nut-toned. Cashew butter, cocoa nib, pear, thyme, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; crisp, satiny mouthfeel. Quiet, inviting finish centered around notes of cashew and pear with undertones of cedar.
Notes
Produced at Sigri Estate from trees of the Typica and Arusha varieties of Arabica and processed by the washed method. Raggiana Coffee works with farms in Papua New Guinea to source high-quality, sustainably grown coffees and roasts them to sell both as subscriptions and standalone purchases. Visit www.raggiana.co for more information.
Bottom Line
An understated, balanced PNG cup with pretty nut tones andcrisp cocoa throughout.
Explore Similar Coffees
Click here for more reviews from Raggiana Coffee
Click here for more information about coffees from Papua New Guinea"
522,"Taster's Coffee
Ethiopia Bench Maji Geisha G1 Natural
|Roaster Location:
|New Taipei City, Taiwan
|Coffee Origin:
|Bench-Maji Zone, southern Ethiopia
|Roast Level:
|Light
|Agtron:
|65/81
|Est. Price:
|NT $520/227 grams
|Review Date:
|October 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Gently sweet-tart, floral-toned. Pomegranate, lilac, pistachio, orange zest, fresh-cut oak in aroma and cup. Crisply sweet-tart structure with delicately bright acidity; silky-smooth mouthfeel. The tart-leaning finish leads with notes of pomegranate and orange zest, supported by oak and pistachio.
Notes
Produced from trees of the admired botanical variety Gesha (also Geisha) by Adam and Rachel Overton. Although the Gesha variety originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came. Processed by the natural method (dried in the whole fruit). Taster’s Coffee is a nano-roaster based in new Taipei City, Taiwan. Visit www.tasterscoffee.com for more information.
Bottom Line
A quietly confident natural-processed Ethiopia Geisha cup — invigoratingly tart, balanced by sweet nut and aromatic wood notes.
Explore Similar Coffees
Click here for more reviews from Taster's Coffee
Click here for more information about coffees from Ethiopia"
